IDHM Renda 2010,Perc Saneamento Adequado,Perc Economicamente Ativa com Rendimento,Gini,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",IDHM Educação 2010,IDHM 2010,Municipio,Selected
54.8,3.53,45.58,54.24,84.37,43.7,58.7,Santa Teresinha,No
50.6,0.81,58.47,52.56,82.55,42.4,59.2,Santanópolis,No
53.6,62.56,62.27,47.29,85.0,44.4,64.0,São Domingos,No
50.8,68.85,43.49,46.06,81.72,38.9,54.6,São José da Vitória,No
51.4,44.24,43.9,48.54,84.3,44.7,59.7,Tanquinho,No
51.1,18.72,44.48,56.42,84.81,43.5,59.4,Teodoro Sampaio,No
53.3,19.42,53.07,51.29,85.69,38.6,57.5,Várzea do Poço,No
56.1,17.99,58.8,52.37,84.87,42.4,58.6,Varzedo,No
53.9,27.31,45.26,47.29,83.55,43.4,57.7,Vereda,No
51.6,1.02,53.9,52.62,82.64,42.5,58.7,Wagner,No
53.3,43.14,49.94,56.21,79.72,52.3,57.5,Abaré,No
53.9,6.9,49.18,57.91,81.26,46.8,58.2,Acajutiba,No
58.6,23.18,45.08,54.78,83.32,47.4,54.6,Adustina,No
52.7,2.33,52.96,53.76,84.24,50.5,55.0,Água Fria,No
55.5,1.32,47.11,50.49,80.25,46.5,56.1,América Dourada,No
57.1,11.69,48.29,60.17,80.69,42.4,55.5,Andaraí,No
53.9,34.78,52.89,55.88,84.67,47.5,58.8,Andorinha,No
53.0,3.51,49.23,56.48,83.76,49.2,62.5,Angical,No
55.2,21.26,45.19,48.68,85.43,44.5,58.9,Anguera,No
56.7,50.04,42.99,56.2,86.43,47.7,59.2,Antas,No
56.3,12.18,64.25,45.83,83.36,42.1,56.1,Antônio Cardoso,No
54.4,10.47,52.03,51.57,82.72,47.6,59.8,Antônio Gonçalves,No
56.8,0.87,53.16,56.62,82.01,47.0,54.8,Aporá,No
56.2,2.5,47.72,54.37,81.49,45.2,57.0,Araças,No
52.7,0.71,60.11,44.73,85.13,47.1,58.1,Aracatu,No
54.0,6.43,43.36,52.53,84.59,46.2,58.8,Aramari,No
55.0,15.35,49.93,47.06,78.91,43.5,55.9,Arataca,No
50.4,45.04,47.22,45.88,82.22,47.1,56.8,Aurelino Leal,No
59.1,2.15,44.66,57.89,82.17,43.9,58.9,Baianópolis,No
56.6,13.01,49.49,47.16,82.29,44.9,57.9,Banzaê,No
54.9,2.16,48.79,57.75,82.97,47.1,63.0,Barra do Mendes,No
58.0,6.51,61.37,51.25,81.86,47.0,60.7,Barro Alto,No
55.4,24.98,65.03,46.72,82.63,46.2,61.0,Barrocas,No
57.0,0.02,53.49,49.72,83.9,50.2,57.5,Belo Campo,No
57.0,15.17,51.44,56.1,83.3,44.3,53.8,Biritinga,No
56.5,27.61,46.13,52.0,83.37,44.0,56.7,Boa Nova,No
55.4,4.26,46.85,56.27,81.62,47.8,55.1,Boa Vista do Tupim,No
55.7,0.5,44.21,52.8,82.92,42.8,54.6,Bom Jesus da Serra,No
55.4,6.52,47.23,55.75,84.02,49.0,61.2,Boninal,No
54.5,4.75,63.44,50.58,79.59,50.4,56.1,Bonito,No
54.1,27.17,60.25,53.34,84.63,45.9,57.5,Botuporã,No
55.9,30.68,46.71,51.81,84.18,44.7,59.7,Brejões,No
62.0,0.41,40.88,56.48,83.92,41.9,59.2,Brejolândia,No
53.1,21.79,47.75,56.99,83.35,46.3,57.0,Brotas de Macaúbas,No
58.3,58.74,40.27,57.6,84.67,47.4,61.3,Buerarema,No
56.0,1.63,49.08,55.31,80.94,50.8,56.5,Buritirama,No
53.4,57.05,49.41,40.59,83.19,38.1,56.1,Caatiba,No
56.3,4.01,65.0,54.55,80.46,47.9,58.1,Cabaceiras do Paraguaçu,No
50.1,6.57,50.55,55.01,81.34,37.2,54.6,Caém,No
56.2,1.84,35.26,50.28,84.51,44.4,54.2,Caetanos,No
56.8,3.57,47.51,55.78,81.62,46.8,58.4,Cafarnaum,No
55.4,41.87,57.26,54.74,81.56,52.7,62.7,Cairu,No
59.5,7.21,58.74,56.02,80.94,45.4,57.3,Caldeirão Grande,No
56.7,0.44,55.08,44.61,85.75,46.4,59.1,Candiba,No
55.8,14.75,52.18,53.81,80.79,49.9,56.2,Canudos,No
54.3,30.01,53.57,49.77,85.64,44.7,59.9,Capela do Alto Alegre,No
54.6,3.65,45.37,49.3,85.03,36.3,55.5,Caraíbas,No
57.5,6.03,49.62,54.27,82.26,50.1,59.6,Central,No
53.6,24.94,45.97,58.11,80.89,48.5,60.0,Chorrochó,No
55.9,5.75,54.71,54.75,82.2,50.0,60.1,Cipó,No
55.8,0.43,46.93,56.38,82.66,50.3,59.6,Cocos,No
54.8,19.33,44.41,58.33,86.49,52.3,60.6,Conceição do Almeida,No
57.3,5.17,46.14,49.75,84.48,49.0,58.2,Condeúba,No
58.1,1.21,45.47,58.77,84.42,44.7,60.0,Coribe,No
56.1,26.73,51.7,48.83,81.9,46.2,53.5,Coronel João Sá,No
60.8,0.64,50.28,55.99,82.42,41.9,59.0,Cotegipe,No
55.8,4.7,41.43,54.57,83.98,47.1,61.4,Cristópolis,No
55.1,38.54,48.76,55.78,81.73,45.1,54.0,Dário Meira,No
57.7,0.07,53.46,45.88,85.29,43.5,59.1,Dom Basílio,No
53.4,0.26,58.25,49.16,86.17,47.1,58.4,Érico Cardoso,No
58.9,37.78,54.67,52.94,85.04,46.9,55.9,Fátima,No
59.7,8.5,46.57,57.54,82.7,48.7,56.5,Filadélfia,No
55.4,67.43,37.71,46.67,83.81,45.3,55.7,Floresta Azul,No
53.2,0.17,37.51,52.5,83.15,45.4,55.9,Gentio do Ouro,No
56.0,14.55,45.93,52.54,83.83,48.7,59.3,Glória,No
57.5,5.74,60.37,54.45,83.28,48.1,64.3,Governador Mangabeira,No
54.9,0.49,55.77,46.02,85.88,37.1,56.9,Guajeru,No
57.9,6.45,57.25,50.81,84.16,47.7,56.3,Heliópolis,No
55.4,2.22,61.28,46.87,86.72,45.9,61.1,Ibiassucê,No
58.9,16.61,56.11,49.07,79.64,47.3,59.1,Ibicoara,No
56.9,56.05,48.88,51.03,83.64,45.1,58.4,Ibicuí,No
56.5,4.53,49.13,57.0,83.14,48.2,61.6,Ibipeba,No
58.4,1.0,42.57,57.61,84.89,44.9,58.4,Ibipitanga,No
55.0,66.37,46.07,49.89,83.61,49.3,57.6,Ibirataia,No
59.6,11.61,39.4,55.4,85.53,45.8,58.5,Ibitiara,No
58.2,1.23,51.1,50.81,83.03,48.0,60.2,Ibititá,No
58.6,19.41,51.98,49.66,85.21,43.5,61.4,Igaporã,No
58.9,15.45,57.84,54.81,79.72,43.6,57.4,Igrapiúna,No
58.1,0.99,51.92,53.12,84.55,46.2,55.0,Ipecaetá,No
50.8,1.17,46.74,50.48,82.85,41.5,57.1,Iramaia,No
59.6,7.61,43.81,54.9,81.8,46.4,57.2,Itaeté,No
54.7,50.88,43.53,47.83,83.27,45.9,54.3,Itagi,No
52.5,60.62,47.01,49.55,83.52,49.0,58.9,Itagibá,No
58.5,0.77,61.38,53.69,80.56,46.5,56.2,Itaguaçu da Bahia,No
55.9,54.56,47.38,47.92,83.28,38.2,59.9,Itapé,No
55.6,3.27,45.54,49.64,80.34,42.9,57.2,Itapebi,No
55.3,74.24,42.88,44.43,83.25,45.0,57.1,Itapitanga,No
57.6,69.8,52.1,51.81,84.24,48.3,61.0,Itarantim,No
56.1,2.04,52.02,47.09,82.22,45.4,58.2,Itatim,No
56.8,43.55,51.65,50.39,84.04,45.8,60.0,Itiruçu,No
55.0,67.34,51.36,46.39,83.7,51.0,59.4,Itororó,No
58.3,7.16,54.03,52.74,84.24,48.4,57.0,Ituaçu,No
56.5,12.21,54.96,47.16,82.15,42.5,59.1,Iuiú,No
55.4,5.32,57.34,47.62,86.84,45.2,59.3,Jacaraci,No
56.5,4.01,62.32,55.92,82.06,47.1,55.6,Jaguaripe,No
54.4,2.56,46.87,54.72,79.39,42.2,55.0,Jandaíra,No
52.5,26.78,59.9,50.46,83.39,47.7,55.3,Jiquiriçá,No
56.6,43.59,46.01,51.29,83.43,42.6,57.5,Jitaúna,No
46.9,30.13,36.3,56.1,83.02,41.3,54.1,Jucuruçu,No
56.8,0.84,49.81,52.37,80.68,43.6,57.1,Jussara,No
54.3,1.54,54.53,48.53,84.76,46.4,54.5,Lagoa Real,No
57.1,53.6,57.61,61.5,81.0,47.0,62.3,Lençóis,No
58.8,1.41,55.29,45.44,84.87,46.1,62.1,Licínio de Almeida,No
52.3,42.6,44.65,56.39,80.44,45.0,52.4,Macajuba,No
56.6,73.25,52.04,47.13,83.99,50.8,60.5,Macarani,No
54.7,91.55,53.95,56.31,85.13,53.9,70.8,Madre de Deus,No
57.3,46.19,54.88,50.96,84.09,49.1,57.2,Mairi,No
60.6,8.05,48.48,49.13,79.95,42.9,56.2,Malhada,No
56.7,1.52,49.48,51.44,83.33,47.2,56.6,Manoel Vitorino,No
55.0,0.14,40.28,55.04,81.65,45.9,59.9,Mansidão,No
55.8,7.52,52.56,71.3,79.84,47.1,59.3,Maraú,No
54.7,5.1,43.46,51.13,81.85,43.7,56.1,Marcionílio Souza,No
58.1,40.81,41.17,60.26,80.56,47.4,58.1,Mascote,No
53.8,1.31,44.91,45.28,82.57,45.6,57.2,Matina,No
56.5,3.69,51.27,52.5,83.42,42.4,62.2,Milagres,No
55.5,16.82,48.79,51.83,82.41,49.6,54.2,Mirangaba,No
51.7,19.24,47.87,52.17,84.18,33.5,52.7,Mirante,No
52.6,1.63,60.59,47.89,86.24,47.3,61.8,Mortugaba,No
54.0,30.96,55.54,53.15,82.24,41.5,60.6,Mucugê,No
45.5,0.27,56.87,49.52,80.39,50.9,56.6,Mulungu do Morro,No
58.4,5.05,48.77,54.95,78.11,42.4,54.9,Muquém de São Francisco,No
54.7,26.21,50.51,55.3,82.25,45.3,54.7,Nilo Peçanha,No
58.6,1.2,46.99,54.16,82.41,47.2,56.0,Nordestina,No
57.3,42.76,50.55,48.1,83.16,47.9,54.5,Nova Canaã,No
53.6,1.02,45.96,57.62,84.0,45.4,59.7,Novo Horizonte,No
54.3,50.82,51.03,51.97,83.24,45.6,55.4,Novo Triunfo,No
56.6,5.89,55.74,53.36,80.59,46.9,56.0,Ourolândia,No
57.7,60.53,44.53,56.75,79.13,45.1,58.3,Pau Brasil,No
58.6,2.69,55.51,46.24,84.27,44.6,58.7,Pé de Serra,No
56.3,2.06,50.82,51.25,80.07,47.9,51.3,Pedro Alexandre,No
55.3,4.51,47.52,55.69,82.95,50.4,57.1,Piatã,No
57.3,0.79,55.34,45.13,85.52,47.1,60.3,Pindaí,No
53.8,47.56,53.29,47.33,84.49,46.9,61.2,Pintadas,No
57.1,3.34,41.06,49.57,85.43,43.1,57.5,Piripá,No
54.7,9.78,50.38,50.77,81.49,46.9,58.0,Ponto Novo,No
55.3,6.76,42.19,55.26,83.84,47.5,61.4,Presidente Dutra,No
50.7,23.07,46.14,55.48,85.28,46.7,54.2,Presidente Jânio Quadros,No
59.0,16.11,57.22,47.53,84.71,47.7,63.6,Retirolândia,No
53.3,0.43,50.37,53.55,83.0,46.0,51.2,Ribeira do Amparo,No
59.4,20.64,44.79,49.3,88.36,41.3,60.5,Rio de Contas,No
54.9,6.51,48.59,49.5,85.47,47.1,57.6,Rio do Antônio,No
54.3,0.74,44.64,48.81,86.33,46.3,59.4,Rio do Pires,No
57.7,11.43,60.47,54.68,82.79,43.3,61.7,Salinas da Margarida,No
64.3,5.3,49.9,53.47,82.96,40.4,58.3,Santa Bárbara,No
56.3,30.83,59.46,55.46,81.48,47.9,54.6,Santa Brígida,No
51.7,62.46,48.94,49.21,85.08,46.6,57.4,Santa Inês,No
51.8,40.29,50.02,46.39,82.29,46.3,55.6,Santa Luzia,No
55.0,56.83,56.37,49.21,86.39,49.0,63.9,São Félix,No
53.5,1.28,53.36,50.58,81.62,48.0,63.9,São Félix do Coribe,No
53.0,7.32,49.76,51.81,81.8,51.2,59.2,São Gabriel,No
55.2,31.29,54.57,46.64,82.6,46.7,55.2,São José do Jacuípe,No
54.3,14.01,62.28,52.13,83.74,44.6,59.3,São Miguel das Matas,No
54.5,3.45,54.18,59.05,84.6,49.1,61.4,Sapeaçu,No
54.8,23.74,58.67,54.48,82.55,48.0,52.7,Sátiro Dias,No
56.8,27.05,54.82,50.05,84.61,45.2,61.7,Saubara,No
50.6,19.75,50.96,55.25,82.66,46.4,54.9,Saúde,No
57.3,9.17,52.36,46.35,85.77,46.2,61.5,Sebastião Laranjeiras,No
57.4,0.9,48.68,51.43,83.98,49.1,60.8,Serra Dourada,No
52.7,9.77,49.92,48.87,84.58,48.2,56.6,Serra Preta,No
54.4,4.45,57.58,50.98,84.44,46.3,59.0,Serrolândia,No
53.8,12.04,37.07,59.56,78.43,43.5,56.4,Sítio do Mato,No
56.6,16.07,52.06,55.68,83.4,42.4,53.3,Sítio do Quinto,No
54.0,1.37,54.41,54.38,81.15,53.8,59.2,Souto Soares,No
55.5,0.16,45.91,54.1,82.73,43.4,58.4,Tabocas do Brejo Velho,No
57.7,1.39,61.44,59.97,83.08,48.0,59.9,Tanque Novo,No
57.8,27.4,55.06,53.5,80.31,48.1,56.6,Taperoá,No
56.0,2.18,47.54,61.91,80.77,49.0,59.4,Tapiramutá,No
54.4,21.87,54.25,48.59,81.74,45.3,55.5,Teolândia,No
56.5,51.69,44.9,45.76,84.19,43.0,57.8,Terra Nova,No
57.1,6.29,44.37,48.65,86.55,47.2,52.8,Tremedal,No
57.3,33.7,57.68,58.31,83.9,51.3,58.2,Ubaíra,No
54.5,1.91,48.66,53.71,84.89,47.9,61.7,Uibaí,No
56.6,1.56,41.8,50.74,82.54,47.5,51.5,Umburanas,No
56.7,7.42,46.2,51.26,85.0,48.8,59.8,Urandi,No
61.8,59.78,51.37,49.49,82.66,46.7,61.6,Uruçuca,No
56.8,1.91,54.12,62.53,81.02,48.1,59.0,Utinga,No
56.6,17.05,56.61,49.97,84.38,46.9,53.9,Várzea da Roça,No
57.9,31.51,53.66,49.93,83.64,40.6,55.5,Várzea Nova,No
57.5,0.86,50.78,59.93,82.5,43.8,60.0,Wanderley,No
60.9,26.75,55.65,53.45,81.06,46.6,60.8,Alcobaça,No
65.2,18.63,57.46,56.79,84.57,49.7,62.5,Amargosa,No
57.7,8.88,54.97,49.98,83.54,54.5,66.6,Amélia Rodrigues,No
58.1,10.94,41.98,48.41,84.86,46.1,54.0,Anagé,No
58.6,29.15,53.28,54.44,81.25,45.2,58.5,Baixa Grande,No
60.8,15.96,48.27,59.97,78.75,56.0,55.7,Barra,No
55.8,44.19,61.15,54.56,82.18,48.9,57.5,Barra da Estiva,No
58.1,25.08,53.96,44.52,81.9,53.1,55.1,Barra do Choça,No
57.2,51.81,52.34,49.79,81.16,52.5,59.8,Belmonte,No
55.9,1.1,47.5,53.57,84.01,50.3,60.3,Boquira,No
63.1,44.53,55.09,57.29,84.76,48.4,64.7,Cachoeira,No
60.4,15.31,59.29,48.35,86.37,49.6,63.7,Caculé,No
65.7,31.25,58.18,59.93,84.92,54.6,62.5,Caetité,No
57.6,64.67,45.26,62.44,80.85,53.6,58.1,Camacan,No
56.3,31.39,55.05,54.84,79.11,56.5,56.5,Camamu,No
56.4,0.0,44.23,60.78,81.28,51.3,55.7,Campo Alegre de Lourdes,No
58.3,1.24,63.56,48.88,81.32,50.5,58.7,Canarana,No
62.0,49.59,50.44,51.97,82.82,51.4,59.0,Canavieiras,No
59.1,7.28,52.12,51.08,83.0,50.4,60.1,Cândido Sales,No
57.5,19.42,53.99,57.33,81.38,56.1,55.7,Cansanção,No
61.9,10.85,61.84,54.93,82.73,50.2,62.1,Capim Grosso,No
56.9,21.14,52.13,58.73,81.01,49.8,61.6,Caravelas,No
57.2,5.32,51.77,51.72,80.86,50.3,57.6,Carinhanha,No
58.6,53.56,52.02,54.94,84.45,51.6,61.3,Castro Alves,No
58.7,40.01,52.98,53.91,85.03,50.1,58.5,Cícero Dantas,No
55.2,77.81,42.15,56.38,83.77,50.3,61.3,Coaraci,No
57.7,5.46,53.93,57.38,83.49,51.0,63.4,Conceição da Feira,No
59.5,4.68,59.74,48.47,84.13,54.5,66.3,Conceição do Jacuípe,No
58.9,7.71,44.07,63.63,79.45,48.0,56.0,Conde,No
58.7,3.55,55.73,52.93,84.07,51.7,59.2,Coração de Maria,No
59.0,13.94,43.38,58.85,83.17,51.8,60.3,Correntina,No
55.4,4.88,60.09,58.31,82.28,46.5,54.3,Crisópolis,No
59.8,33.69,49.38,52.79,80.93,51.3,58.1,Curaçá,No
55.8,16.88,49.03,51.22,81.24,46.5,54.4,Encruzilhada,No
64.5,9.51,46.54,62.49,81.67,50.8,61.5,Entre Rios,No
58.0,9.31,52.45,59.0,80.64,56.2,58.9,Esplanada,No
57.2,2.67,44.95,61.36,80.49,55.3,61.8,Formosa do Rio Preto,No
56.4,47.81,58.36,59.89,82.41,55.6,63.2,Gandu,No
54.3,39.62,52.0,53.85,82.53,49.2,55.8,Guaratinga,No
57.7,27.63,44.93,62.82,82.6,51.9,57.4,Iaçu,No
59.9,61.48,44.96,54.83,83.61,51.5,62.5,Ibicaraí,No
55.4,42.67,50.31,52.96,79.37,53.5,55.8,Ibirapitanga,No
60.2,26.2,53.64,55.81,82.8,49.2,63.6,Ibotirama,No
60.7,51.23,49.78,56.41,83.01,46.6,55.2,Iguaí,No
64.1,29.13,57.22,53.7,81.36,50.2,56.5,Inhambupe,No
60.1,64.06,50.71,69.96,84.26,57.5,67.0,Ipiaú,No
60.4,4.03,48.78,61.75,81.36,49.5,59.9,Iraquara,No
59.2,2.31,65.5,49.93,83.9,51.6,62.0,Irará,No
61.6,2.97,53.84,56.81,80.32,49.7,59.9,Itabela,No
55.7,33.99,57.04,55.45,79.7,51.3,58.3,Itacaré,No
58.0,56.06,48.7,50.08,84.11,49.8,59.9,Itajuípe,No
58.5,77.23,52.34,41.35,82.76,49.6,57.8,Itambé,No
56.4,61.94,51.55,54.24,85.61,49.7,63.7,Itanhém,No
56.6,40.83,52.21,60.35,84.52,49.8,67.0,Itaparica,No
56.5,8.62,55.18,54.99,80.82,52.5,48.6,Itapicuru,No
61.1,18.15,49.0,56.98,81.47,49.8,54.4,Itiúba,No
54.6,33.36,59.21,51.14,81.32,55.3,60.6,Ituberá,No
60.9,54.54,46.42,67.48,84.15,52.4,65.9,Jaguarari,No
60.0,31.68,57.86,53.6,81.88,51.0,54.7,Jeremoabo,No
58.7,4.17,52.61,53.84,80.43,49.1,59.3,João Dourado,No
57.4,19.04,59.98,51.41,82.94,50.3,58.6,Laje,No
56.4,8.25,52.29,52.64,81.64,51.4,59.6,Lapão,No
62.1,26.71,47.27,53.78,85.05,54.1,61.1,Livramento de Nossa Senhora,No
63.6,23.48,49.51,56.04,84.08,55.8,60.9,Macaúbas,No
61.4,6.28,54.51,51.78,84.25,46.5,60.7,Maracás,No
62.4,37.71,55.04,57.41,84.37,52.5,62.1,Maragogipe,No
60.1,35.95,52.83,58.66,83.09,55.5,66.8,Mata de São João,No
57.6,30.95,50.2,54.34,84.26,50.8,62.5,Medeiros Neto,No
60.8,36.44,55.2,54.8,83.62,48.7,58.6,Miguel Calmon,No
63.8,7.91,53.32,51.65,81.3,48.5,58.8,Morro do Chapéu,No
60.6,16.9,55.6,59.69,81.51,54.8,66.5,Mucuri,No
57.3,32.43,50.67,65.85,82.61,50.4,59.0,Mundo Novo,No
62.6,12.68,52.67,56.18,85.14,50.1,66.0,Muritiba,No
59.5,41.86,56.69,64.23,84.58,46.9,60.1,Mutuípe,No
56.9,49.67,53.63,61.05,84.93,52.7,64.1,Nazaré,No
58.0,0.8,48.77,57.86,82.27,49.8,55.5,Nova Soure,No
61.5,12.62,56.48,62.3,80.69,53.3,65.4,Nova Viçosa,No
57.8,44.64,42.88,59.67,82.12,47.9,55.9,Olindina,No
53.4,4.18,38.61,57.26,83.78,49.0,55.4,Oliveira dos Brejinhos,No
59.8,5.56,52.65,49.36,84.54,47.4,58.6,Palmas de Monte Alto,No
58.8,27.48,54.19,51.34,86.43,48.2,61.5,Paramirim,No
58.2,1.05,45.65,55.47,81.74,53.1,59.0,Paratinga,No
61.1,14.55,45.05,59.11,84.26,47.6,57.7,Paripiranga,No
60.7,0.59,43.75,60.16,79.53,50.7,50.6,Pilão Arcado,No
56.1,27.14,50.39,51.45,81.43,49.6,57.7,Pindobaçu,No
53.9,34.46,49.4,52.64,82.49,53.7,57.8,Piritiba,No
55.1,0.78,52.9,46.34,82.73,55.0,56.0,Planalto,No
57.9,62.69,51.35,55.27,82.14,57.4,60.4,Poções,No
60.2,81.02,54.72,52.5,84.08,51.6,66.6,Pojuca,No
60.2,11.85,58.09,56.07,80.5,52.2,62.1,Prado,No
60.1,25.17,59.99,55.17,81.09,48.2,55.9,Presidente Tancredo Neves,No
60.8,33.06,53.78,52.01,82.68,47.6,59.2,Queimadas,No
58.3,9.31,48.67,58.33,82.72,47.4,54.4,Quijingue,No
51.9,11.01,52.79,50.31,82.5,51.0,56.4,Rafael Jambeiro,No
58.8,48.02,53.45,54.65,81.9,55.9,57.9,Remanso,No
53.3,3.54,39.14,54.34,82.85,53.0,57.8,Riachão das Neves,No
61.6,56.84,54.06,48.07,85.53,49.2,62.8,Riachão do Jacuípe,No
61.3,5.21,51.63,56.25,83.85,51.0,61.5,Riacho de Santana,No
61.5,23.51,52.44,54.38,83.2,57.7,60.1,Ribeira do Pombal,No
63.6,6.68,56.02,53.79,82.0,51.6,57.2,Rio Real,No
59.0,49.86,51.35,56.34,82.65,52.7,61.0,Ruy Barbosa,No
62.6,40.89,58.58,58.75,79.39,47.3,65.4,Santa Cruz Cabrália,No
59.8,10.04,51.35,54.75,83.34,53.1,61.4,Santa Maria da Vitória,No
61.5,13.21,50.43,60.61,82.41,49.1,60.5,Santa Rita de Cássia,No
60.5,51.71,55.49,49.99,82.77,55.5,59.8,Santaluz,No
64.1,7.3,53.7,55.18,83.52,46.7,60.8,Santana,No
62.4,6.48,59.79,57.55,83.21,57.1,62.6,Santo Estêvão,No
57.5,5.91,49.47,57.53,80.61,54.0,57.9,São Desidério,No
58.9,8.14,55.19,51.01,85.94,49.6,61.6,São Felipe,No
61.5,60.64,57.0,51.98,83.51,53.2,67.4,São Francisco do Conde,No
56.6,5.96,58.42,56.81,83.49,56.4,62.7,São Gonçalo dos Campos,No
58.2,53.06,52.22,54.64,84.72,58.3,65.7,São Sebastião do Passé,No
62.3,2.26,58.36,58.03,82.08,56.8,63.5,Seabra,No
57.8,28.66,49.76,53.43,78.97,55.3,58.5,Sento Sé,No
58.2,0.8,41.66,54.67,80.63,51.8,59.5,Serra do Ramalho,No
60.0,73.72,48.11,51.6,81.84,49.3,63.1,Sobradinho,No
55.0,12.13,53.13,50.83,85.18,53.7,57.7,Tanhaçu,No
54.7,21.44,53.55,54.75,81.39,48.2,56.6,Teofilândia,No
57.2,2.21,47.83,57.77,84.0,50.8,60.5,Uauá,No
50.3,61.26,50.93,56.19,82.39,56.8,61.1,Ubaitaba,No
